#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,gemv_nvfp4_kernel
142,00007ffc c55ebcd0,"      IADD3 R24, P0, P1, R14, R12, R23",0,21,64,Integer,458752,32,,,,,,,,,
143,00007ffc c55ebce0,"      IADD3.X R25, PT, PT, R6, R13, RZ, P0, P1",0,22,43,Integer,458752,32,,,,,,,,,
144,00007ffc c55ebcf0,"      IADD3 R22, P0, P1, R20, R10, R23",0,23,11,Integer,458752,32,,,,,,,,,
145,00007ffc c55ebd00,"      LDG.E.U8.CONSTANT R9, desc[UR12][R24.64]",0,23,19,Load/Store,458752,32,Global,Load,8,,3211264,,,,
146,00007ffc c55ebd10,"      IADD3.X R23, PT, PT, R26, R11, RZ, P0, P1",0,24,5,Integer,458752,32,,,,,,,,,
147,00007ffc c55ebd20,"      LDG.E.U8.CONSTANT R27, desc[UR12][R22.64]",0,25,22,Load/Store,458752,32,Global,Load,8,,3211264,,,,
148,00007ffc c55ebd30,"      LOP3.LUT R9, R9, 0xf, RZ, 0xc0, !PT",0,25,142,Integer,458752,32,,,,,,,,,
149,00007ffc c55ebd40,"      F2FP.F16.E2M1.UNPACK_B R9, R9",0,25,48,Other,458752,32,,,,,,,,,
150,00007ffc c55ebd50,"      HADD2.F32 R9, -RZ, R9.H0_H0",0,25,29,Floating Point,458752,32,,,,,,,,,
151,00007ffc c55ebd60,"      LOP3.LUT R27, R27, 0xf, RZ, 0xc0, !PT",0,25,3,Integer,458752,32,,,,,,,,,
152,00007ffc c55ebd70,"      FMUL.FTZ R28, R2, R9",0,26,25,Floating Point,458752,32,,,,,,,,,
153,00007ffc c55ebd80,"      VIADD R9, R3, 0x5",0,26,11,Integer,458752,32,,,,,,,,,
154,00007ffc c55ebd90,"      F2FP.F16.E2M1.UNPACK_B R27, R27",0,26,2,Other,458752,32,,,,,,,,,
155,00007ffc c55ebda0,"      ISETP.GE.AND P0, PT, R9, R4, PT",0,26,78,Integer,458752,32,,,,,,,,,
156,00007ffc c55ebdb0,"      HADD2.F32 R27, -RZ, R27.H0_H0",0,26,5,Floating Point,458752,32,,,,,,,,,
157,00007ffc c55ebdc0,"      FMUL.FTZ R27, R0, R27",0,26,21,Floating Point,458752,32,,,,,,,,,
