device__attribute_gpu_pci_ext_downstream_link_width,16
device__attribute_gpu_pci_ext_gen,4
device__attribute_gpu_pci_ext_gpu_gen,4
device__attribute_gpu_pci_ext_gpu_link_rate,"32,000"
device__attribute_gpu_pci_ext_gpu_link_width,16
device__attribute_gpu_pci_revision_id,161
device__attribute_gpu_pci_sub_system_id,"429,461,726"
device__attribute_handle_type_fabric_supported,1
device__attribute_handle_type_posix_file_descriptor_supported,1
device__attribute_handle_type_win32_handle_supported,0
device__attribute_handle_type_win32_kmt_handle_supported,0
device__attribute_host_native_atomic_supported,0
device__attribute_host_numa_id,0
device__attribute_host_register_supported,1
device__attribute_implementation,416
device__attribute_integrated,0
device__attribute_ipc_event_supported,1
device__attribute_kernel_exec_timeout,0
device__attribute_l2_cache_size,"132,644,864"
device__attribute_l2s_count,192
device__attribute_limits_max_cta_per_sm,32
device__attribute_limits_num_tpcs,74
device__attribute_local_l1_cache_supported,1
device__attribute_managed_memory,1
device__attribute_max_access_policy_window_size,"134,217,728"
device__attribute_max_block_dim_x,"1,024"
device__attribute_max_block_dim_y,"1,024"
device__attribute_max_block_dim_z,64
device__attribute_max_blocks_per_multiprocessor,32
device__attribute_max_gpu_frequency_khz,"1,965,000"
device__attribute_max_grid_dim_x,"2,147,483,647"
device__attribute_max_grid_dim_y,"65,535"
device__attribute_max_grid_dim_z,"65,535"
device__attribute_max_ipc_per_multiprocessor,4
device__attribute_max_ipc_per_scheduler,1
device__attribute_max_mem_frequency_khz,"3,996,000"
device__attribute_max_persisting_l2_cache_size,"82,903,040"
device__attribute_max_pitch,"2,147,483,647"
device__attribute_max_registers_per_block,"65,536"
device__attribute_max_registers_per_multiprocessor,"65,536"
device__attribute_max_registers_per_thread,255
device__attribute_max_shared_memory_per_block,"49,152"
device__attribute_max_shared_memory_per_block_optin,"232,448"
device__attribute_max_shared_memory_per_multiprocessor,"233,472"
device__attribute_max_threads_per_block,"1,024"
device__attribute_max_threads_per_multiprocessor,"2,048"
device__attribute_max_warps_per_multiprocessor,64
device__attribute_max_warps_per_scheduler,16
device__attribute_maximum_surface1d_layered_layers,"2,048"
device__attribute_maximum_surface1d_layered_width,"32,768"
device__attribute_maximum_surface1d_width,"32,768"
device__attribute_maximum_surface2d_height,"65,536"
device__attribute_maximum_surface2d_layered_height,"32,768"
device__attribute_maximum_surface2d_layered_layers,"2,048"
device__attribute_maximum_surface2d_layered_width,"32,768"
device__attribute_maximum_surface2d_width,"131,072"
device__attribute_maximum_surface3d_depth,"16,384"
device__attribute_maximum_surface3d_height,"16,384"
device__attribute_maximum_surface3d_width,"16,384"
device__attribute_maximum_surfacecubemap_layered_layers,"2,046"
device__attribute_maximum_surfacecubemap_layered_width,"32,768"
device__attribute_maximum_surfacecubemap_width,"32,768"
device__attribute_maximum_texture1d_layered_layers,"2,048"
device__attribute_maximum_texture1d_layered_width,"32,768"
device__attribute_maximum_texture1d_linear_width,"268,435,456"
device__attribute_maximum_texture1d_mipmapped_width,"32,768"
