#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,cutlass3x_sm100_bstensorop_s256x128x64gemm_block_scaled_ue4m3xf4_ue4m3xf4_f32_f16_f16_256x128x256_0_tnn_align32_o_vs16_2sm_bias_f16_relu
191,00007ffc 5992e0e0,"@!P5  STS.64 [R7+UR43+0xd0], R14",0,60,,Load/Store,896,,Shared,Store,64,,,,,,
192,00007ffc 5992e0f0,      FENCE.VIEW.ASYNC.S,0,60,,Load/Store,896,32,,,,,,,,,
193,00007ffc 5992e100,      SYNCS.CCTL.IVALL,0,60,1,Load/Store,896,32,,,,,,,,,
194,00007ffc 5992e110,      NOP,0,60,1,Miscellaneous,896,32,,,,,,,,,
195,00007ffc 5992e120,"      IMAD.MOV.U32 R8, RZ, RZ, 0x1",0,61,,Integer,896,32,,,,,,,,,
196,00007ffc 5992e130,"@!P4  IADD3 R8, PT, PT, -R8, 0x100000, RZ",0,61,,Integer,896,,,,,,,,,,
197,00007ffc 5992e140,"@!P4  SHF.L.U32 R9, R8, 0xb, RZ",0,61,,Integer,896,,,,,,,,,,
198,00007ffc 5992e150,"@!P4  SHF.L.U32 R8, R8, 0x1, RZ",0,61,,Integer,896,,,,,,,,,,
199,00007ffc 5992e160,"@!P4  STS.64 [R7+UR43+0xe0], R8",0,61,,Load/Store,896,,Shared,Store,64,,,,,,
200,00007ffc 5992e170,"@!P4  IADD3 R12, PT, PT, -R6, 0x100000, RZ",0,61,,Integer,896,,,,,,,,,,
201,00007ffc 5992e180,"@!P4  SHF.L.U32 R13, R12, 0xb, RZ",0,60,,Integer,896,,,,,,,,,,
202,00007ffc 5992e190,"@!P4  SHF.L.U32 R12, R12, 0x1, RZ",0,60,,Integer,896,,,,,,,,,,
203,00007ffc 5992e1a0,"@!P3  IADD3 R14, PT, PT, -R3, 0x100000, RZ",0,60,1,Integer,896,,,,,,,,,,
