#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,gemv_nvfp4_kernel
93,00007ffc 155eb9c0,"      LDG.E.CONSTANT R29, desc[UR8][R10.64+0x4]",0,28,5,Load/Store,65536,32,Global,Load,32,262144,,,,
94,00007ffc 155eb9d0,"      IADD3 R16, PT, PT, R16, 0x1, RZ",0,26,,Integer,65536,32,,,,,,,,
95,00007ffc 155eb9e0,"      IADD3 R4, P2, PT, R4, 0x20, RZ",0,26,10,Integer,65536,32,,,,,,,,
96,00007ffc 155eb9f0,"      ISETP.NE.AND P1, PT, R16, RZ, PT",0,26,2,Integer,65536,32,,,,,,,,
97,00007ffc 155eba00,"      IADD3 R8, P3, PT, R8, 0x20, RZ",0,26,1,Integer,65536,32,,,,,,,,
98,00007ffc 155eba10,"      IMAD.X R27, RZ, RZ, R27, P2",0,26,,Integer,65536,32,,,,,,,,
99,00007ffc 155eba20,"      IADD3 R12, PT, PT, R12, 0x20, RZ",0,26,2,Integer,65536,32,,,,,,,,
100,00007ffc 155eba30,"      IADD3 R13, PT, PT, R13, 0x100, RZ",0,26,4,Integer,65536,32,,,,,,,,
101,00007ffc 155eba40,"      IADD3.X R19, PT, PT, RZ, R19, RZ, P3, !PT",0,26,2,Integer,65536,32,,,,,,,,
102,00007ffc 155eba50,"      F2FP.F16.E4M3.UNPACK_B R30, R30",0,26,207,Other,65536,32,,,,,,,,
103,00007ffc 155eba60,"      F2FP.F16.E4M3.UNPACK_B R31, R31",0,26,4,Other,65536,32,,,,,,,,
104,00007ffc 155eba70,"      HADD2.F32 R30, -RZ, R30.H0_H0",0,26,29,Floating Point,65536,32,,,,,,,,
105,00007ffc 155eba80,"      HADD2.F32 R31, -RZ, R31.H0_H0",0,26,3,Floating Point,65536,32,,,,,,,,
106,00007ffc 155eba90,"      FMUL.FTZ R30, R30, R31",0,26,14,Floating Point,65536,32,,,,,,,,
107,00007ffc 155ebaa0,"      F2FP.F16.E2M1.UNPACK_B R14, R26.B1",0,26,4,Other,65536,32,,,,,,,,
108,00007ffc 155ebab0,"      F2FP.F16.F32.PACK_AB R11, RZ, R30",0,27,13,Other,65536,32,,,,,,,,
109,00007ffc 155ebac0,"      F2FP.F16.E2M1.UNPACK_B R30, R26",0,27,3,Other,65536,32,,,,,,,,
110,00007ffc 155ebad0,"      F2FP.F16.E2M1.UNPACK_B R15, R18",0,28,96,Other,65536,32,,,,,,,,
111,00007ffc 155ebae0,"      HMUL2 R14, R14, R11.H0_H0",0,28,2,Floating Point,65536,32,,,,,,,,
112,00007ffc 155ebaf0,"      F2FP.F16.E2M1.UNPACK_B R10, R18.B1",0,29,1,Other,65536,32,,,,,,,,
113,00007ffc 155ebb00,"      HMUL2 R30, R30, R11.H0_H0",0,29,,Floating Point,65536,32,,,,,,,,
114,00007ffc 155ebb10,"      F2FP.F16.E2M1.UNPACK_B R31, R28",0,30,1,Other,65536,32,,,,,,,,
115,00007ffc 155ebb20,"      HFMA2 R15, R15, R30, -RZ",0,30,32,Floating Point,65536,32,,,,,,,,
116,00007ffc 155ebb30,"      F2FP.F16.E2M1.UNPACK_B R30, R26.B2",0,30,1,Other,65536,32,,,,,,,,
117,00007ffc 155ebb40,"      HMUL2 R31, R31, R11.H0_H0",0,30,2,Floating Point,65536,32,,,,,,,,
118,00007ffc 155ebb50,"      F2FP.F16.E2M1.UNPACK_B R26, R26.B3",0,30,1,Other,65536,32,,,,,,,,
119,00007ffc 155ebb60,"      HMUL2 R30, R30, R11.H0_H0",0,30,13,Floating Point,65536,32,,,,,,,,
120,00007ffc 155ebb70,"      HFMA2 R10, R10, R14, R15",0,30,2,Floating Point,65536,32,,,,,,,,
121,00007ffc 155ebb80,"      F2FP.F16.E2M1.UNPACK_B R15, R29",0,29,1,Other,65536,32,,,,,,,,
122,00007ffc 155ebb90,"      HMUL2 R26, R26, R11.H0_H0",0,29,1,Floating Point,65536,32,,,,,,,,
123,00007ffc 155ebba0,"      F2FP.F16.E2M1.UNPACK_B R14, R18.B2",0,30,,Other,65536,32,,,,,,,,
