#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,cutlass3x_sm100_bstensorop_s256x128x64gemm_block_scaled_ue4m3xf4_ue4m3xf4_f32_f16_f16_256x128x256_0_tnn_align32_o_vs16_2sm_bias_f16_relu
154,00007ffb 7b52de90,"@!P0  IADD3 R8, PT, PT, -R6, 0x100000, RZ",0,61,,Integer,512,,,,,,,,,,
155,00007ffb 7b52dea0,"@!P0  SHF.L.U32 R9, R8, 0xb, RZ",0,60,,Integer,512,,,,,,,,,,
156,00007ffb 7b52deb0,"@!P0  SHF.L.U32 R8, R8, 0x1, RZ",0,60,,Integer,512,,,,,,,,,,
157,00007ffb 7b52dec0,"      IMAD.MOV.U32 R6, RZ, RZ, 0x20",0,61,,Integer,512,32,,,,,,,,,
158,00007ffb 7b52ded0,"@!P0  STS.64 [R7+UR43+0x38], R8",0,61,,Load/Store,512,,Shared,Store,64,,,,,,
159,00007ffb 7b52dee0,      FENCE.VIEW.ASYNC.S,0,60,,Load/Store,512,32,,,,,,,,,
160,00007ffb 7b52def0,      SYNCS.CCTL.IVALL,0,60,2,Load/Store,512,32,,,,,,,,,
161,00007ffb 7b52df00,      NOP,0,60,,Miscellaneous,512,32,,,,,,,,,
162,00007ffb 7b52df10,"      ISETP.NE.OR P0, PT, RZ, UR21, !P6",0,60,,Integer,512,32,,,,,,,,,
163,00007ffb 7b52df20,"      PLOP3.LUT P6, PT, P6, PT, UP0, 0x80, 0x8",0,60,,Predicate,512,32,,,,,,,,,
164,00007ffb 7b52df30,"      UISETP.GE.AND UP0, UPT, UR17, 0x2, UPT",0,60,,Uniform Datapath,512,32,,,,,,,,,
165,00007ffb 7b52df40,"@!P1  IADD3 R12, PT, PT, -R6, 0x100000, RZ",0,60,,Integer,512,,,,,,,,,,
166,00007ffb 7b52df50,"@!P1  SHF.L.U32 R13, R12, 0xb, RZ",0,59,1,Integer,512,,,,,,,,,,
167,00007ffb 7b52df60,"@!P1  SHF.L.U32 R12, R12, 0x1, RZ",0,59,,Integer,512,,,,,,,,,,
168,00007ffb 7b52df70,"      IMAD.MOV.U32 R6, RZ, RZ, 0x100",0,60,,Integer,512,32,,,,,,,,,
169,00007ffb 7b52df80,"@!P1  STS.64 [R7+UR43+0x70], R12",0,60,,Load/Store,512,,Shared,Store,64,,,,,,
170,00007ffb 7b52df90,"@!P1  STS.64 [R7+UR43+0x90], R14",0,60,,Load/Store,512,,Shared,Store,64,,,,,,
171,00007ffb 7b52dfa0,      FENCE.VIEW.ASYNC.S,0,60,,Load/Store,512,32,,,,,,,,,
172,00007ffb 7b52dfb0,      SYNCS.CCTL.IVALL,0,60,,Load/Store,512,32,,,,,,,,,
173,00007ffb 7b52dfc0,      NOP,0,60,,Miscellaneous,512,32,,,,,,,,,
174,00007ffb 7b52dfd0,"      IMAD.MOV.U32 R8, RZ, RZ, 0x20",0,61,,Integer,512,32,,,,,,,,,
175,00007ffb 7b52dfe0,"@!P2  IADD3 R8, PT, PT, -R8, 0x100000, RZ",0,61,,Integer,512,,,,,,,,,,
176,00007ffb 7b52dff0,"@!P2  SHF.L.U32 R9, R8, 0xb, RZ",0,61,,Integer,512,,,,,,,,,,
177,00007ffb 7b52e000,"@!P2  SHF.L.U32 R8, R8, 0x1, RZ",0,61,1,Integer,512,,,,,,,,,,
178,00007ffb 7b52e010,"@!P2  STS.64 [R7+UR43+0xb0], R8",0,61,,Load/Store,512,,Shared,Store,64,,,,,,
179,00007ffb 7b52e020,      FENCE.VIEW.ASYNC.S,0,60,,Load/Store,512,32,,,,,,,,,
180,00007ffb 7b52e030,      SYNCS.CCTL.IVALL,0,60,,Load/Store,512,32,,,,,,,,,
181,00007ffb 7b52e040,      NOP,0,60,,Miscellaneous,512,32,,,,,,,,,
182,00007ffb 7b52e050,"@!P5  IADD3 R12, PT, PT, -R3, 0x100000, RZ",0,60,,Integer,512,,,,,,,,,,
